tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,online_backup,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,paperless_billing,churn
61,46.99,2866.39,Two year,Bank transfer,Fiber optic,No,Yes,No,No,No,Female,0,No,Yes,Yes,No,Yes,No
36,73.98,2663.28,One year,Bank transfer,Fiber optic,Yes,Yes,No,No,Yes,Female,0,No,No,Yes,Yes,No,No
43,36.2,1556.6,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,Yes,No,Female,1,Yes,Yes,Yes,No,Yes,Yes
34,104.15,3541.1,Two year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,Yes,Yes,No
64,104.64,6696.96,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,Yes,No,Male,0,Yes,No,Yes,Yes,No,No
46,115.52,5313.92,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,Yes,Yes,Yes,Yes,No
2,35.47,70.94,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,Yes,Yes,No,No,Yes
0,82.33,0.0,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,No,Male,0,No,No,Yes,No,Yes,Yes
4,67.42,269.68,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,Yes,Yes,Yes
13,54.44,707.72,Two year,Mailed check,Fiber optic,No,No,Yes,No,No,Male,0,Yes,Yes,Yes,No,No,No
26,55.15,1433.9,One year,Electronic check,DSL,No,Yes,No,Yes,No,Male,0,Yes,No,Yes,No,Yes,No
8,61.28,490.24,One year,Credit card,Fiber optic,No,No,Yes,Yes,Yes,Male,0,No,Yes,Yes,Yes,No,No
14,90.49,1266.86,Month-to-month,Electronic check,DSL,Yes,No,Yes,No,Yes,Female,1,Yes,No,Yes,Yes,Yes,No
41,79.83,3273.03,Two year,Credit card,Fiber optic,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,No,Yes,No
50,65.97,3298.5,Two year,Bank transfer,Fiber optic,No,No,Yes,Yes,No,Male,1,No,No,Yes,Yes,No,No
62,27.59,1710.58,One year,Bank transfer,DSL,Yes,Yes,No,No,Yes,Male,1,Yes,No,Yes,No,No,No
51,27.78,1416.78,Month-to-month,Bank transfer,DSL,Yes,No,No,No,No,Female,1,No,Yes,Yes,Yes,Yes,No
3,20.23,60.69,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,No,No,Yes,Yes,No,No
22,116.77,2568.94,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,Yes,No,Female,0,No,No,Yes,No,No,No
14,20.53,287.42,Month-to-month,Credit card,DSL,Yes,Yes,Yes,No,No,Female,0,No,No,Yes,No,Yes,No
42,30.31,1273.02,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,Yes,Female,0,No,No,Yes,No,Yes,Yes
28,51.46,1440.88,Two year,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,No,Female,0,Yes,No,Yes,No,No,No
35,100.74,3525.9,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,Yes,Yes,Male,0,Yes,No,Yes,No,Yes,No
12,116.21,1394.52,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,No,Yes
31,99.0,3069.0,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,Female,1,No,Yes,Yes,Yes,No,Yes
70,89.06,6234.2,Month-to-month,Electronic check,DSL,Yes,No,Yes,Yes,No,Male,1,Yes,No,Yes,No,No,Yes
58,72.13,4183.54,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,Yes,No,No
27,28.67,774.09,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,No,No,No
65,115.82,7528.3,Month-to-month,Mailed check,DSL,Yes,Yes,No,No,No,Male,1,Yes,No,No,No phone service,No,Yes
41,95.84,3929.44,One year,Mailed check,DSL,No,No,Yes,Yes,No,Female,0,Yes,No,No,No phone service,Yes,No
44,83.89,3691.16,Two year,Electronic check,DSL,No,Yes,No,No,No,Male,0,No,Yes,Yes,No,No,No
61,95.9,5849.9,Month-to-month,Electronic check,Fiber optic,No,Yes,No,Yes,No,Female,0,Yes,No,No,No phone service,Yes,Yes
56,92.41,5174.96,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,No,No,Female,0,Yes,No,Yes,No,No,Yes
5,83.72,418.6,One year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,No,Male,0,Yes,Yes,Yes,Yes,Yes,No
27,118.06,3187.62,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,1,Yes,Yes,Yes,No,Yes,Yes
27,110.34,2979.18,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,No,Male,0,No,No,Yes,No,Yes,Yes
43,84.67,3640.81,Two year,Electronic check,DSL,Yes,Yes,No,No,Yes,Male,0,Yes,No,Yes,No,No,No
29,89.32,2590.28,Month-to-month,Bank transfer,DSL,Yes,No,Yes,Yes,No,Female,0,No,Yes,No,No phone service,Yes,Yes
61,25.16,1534.76,One year,Electronic check,Fiber optic,Yes,No,Yes,No,Yes,Male,0,Yes,No,Yes,No,Yes,No
61,86.99,5306.39,Month-to-month,Electronic check,DSL,Yes,No,Yes,No,Yes,Female,1,No,Yes,Yes,No,No,Yes
0,24.42,0.0,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,No,No,Female,0,No,Yes,Yes,Yes,Yes,Yes
26,78.83,2049.58,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,Yes,Yes,Yes
61,119.94,7316.34,One year,Electronic check,DSL,Yes,Yes,No,No,Yes,Male,0,No,No,Yes,Yes,No,Yes
2,75.58,151.16,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,No,Male,0,No,Yes,Yes,Yes,Yes,No
69,67.32,4645.08,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,No,Female,0,No,Yes,Yes,No,Yes,No
71,51.29,3641.59,One year,Bank transfer,Fiber optic,Yes,No,Yes,No,Yes,Male,0,No,Yes,Yes,No,No,No
26,32.05,833.3,Month-to-month,Credit card,DSL,No,No,No,No,Yes,Female,0,No,No,Yes,Yes,Yes,Yes
8,93.1,744.8,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,Yes,Female,0,Yes,No,Yes,Yes,Yes,Yes
61,39.26,2394.86,Two year,Electronic check,DSL,Yes,Yes,No,Yes,No,Male,0,No,No,No,No phone service,Yes,No
36,31.53,1135.08,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,No,Yes,Yes,No,Yes,No
50,62.18,3109.0,One year,Credit card,DSL,No,No,Yes,No,No,Male,1,Yes,No,Yes,No,No,No
43,99.53,4279.79,One year,Mailed check,Fiber optic,No,Yes,No,Yes,No,Female,0,Yes,No,Yes,No,No,Yes
23,94.51,2173.73,One year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Male,0,No,Yes,Yes,Yes,No,No
58,25.49,1478.42,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,Yes,No,No phone service,No,Yes
31,65.51,2030.81,Two year,Credit card,DSL,Yes,No,No,No,Yes,Male,0,Yes,No,Yes,Yes,Yes,No
51,72.24,3684.24,Month-to-month,Bank transfer,DSL,No,No,Yes,No,No,Male,0,Yes,No,Yes,Yes,No,No
61,84.45,5151.45,One year,Bank transfer,DSL,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,Yes,No,No
57,85.02,4846.14,Month-to-month,Mailed check,DSL,No,No,No,No,Yes,Female,0,Yes,No,No,No phone service,Yes,Yes
51,56.47,2879.97,Month-to-month,Electronic check,DSL,Yes,No,No,Yes,No,Male,0,Yes,Yes,Yes,No,Yes,Yes
11,76.07,836.77,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,Yes,No,Male,0,No,Yes,Yes,No,Yes,No
38,68.11,2588.18,Two year,Bank transfer,DSL,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,No,No,No
1,108.5,108.5,Two year,Mailed check,DSL,Yes,Yes,Yes,No,No,Male,0,Yes,No,Yes,No,Yes,Yes
2,73.03,146.06,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,Yes,Yes,Yes
55,64.1,3525.5,Month-to-month,Electronic check,DSL,Yes,No,Yes,No,Yes,Female,0,No,No,Yes,No,Yes,No
58,60.45,3506.1,One year,Mailed check,DSL,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,Yes,No,No
1,77.24,77.24,Month-to-month,Electronic check,DSL,Yes,No,No,No,Yes,Female,0,No,No,Yes,No,No,No
1,100.4,100.4,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,Yes,No,Yes
53,73.84,3913.52,One year,Mailed check,DSL,No,Yes,No,Yes,No,Male,1,No,No,Yes,Yes,No,No
0,86.17,0.0,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,Yes,Yes,Yes,No,Yes
18,93.79,1688.22,Two year,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,Female,0,Yes,No,Yes,Yes,No,Yes
1,72.02,72.02,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,Yes,No,Female,0,Yes,No,Yes,Yes,No,No
52,62.68,3259.36,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,Yes,Yes,Yes,Yes,Yes,No
43,107.67,4629.81,Month-to-month,Electronic check,DSL,Yes,No,Yes,No,No,Female,0,Yes,Yes,Yes,No,Yes,No
31,61.75,1914.25,One year,Mailed check,DSL,No,No,Yes,Yes,No,Male,0,No,Yes,Yes,Yes,Yes,No
69,66.19,4567.11,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,1,Yes,Yes,Yes,Yes,No,Yes
31,119.03,3689.93,One year,Credit card,Fiber optic,No,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,No,No,No
67,20.02,1341.34,Month-to-month,Credit card,Fiber optic,No,No,No,No,No,Female,0,Yes,No,Yes,Yes,Yes,No
54,38.55,2081.7,One year,Electronic check,DSL,No,Yes,Yes,No,Yes,Male,0,No,Yes,Yes,No,Yes,No
55,58.4,3212.0,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,No,No,Female,0,Yes,Yes,Yes,No,No,No
16,113.26,1812.16,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,No,Male,1,Yes,Yes,Yes,Yes,No,Yes
37,27.0,999.0,One year,Bank transfer,DSL,No,Yes,No,Yes,No,Male,0,No,Yes,No,No phone service,No,No
23,20.95,481.85,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,No,No,No
68,25.27,1718.36,Month-to-month,Credit card,DSL,No,No,No,Yes,No,Male,0,Yes,Yes,Yes,Yes,No,Yes
69,28.85,1990.65,Two year,Credit card,DSL,No,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,No,No,No
10,23.76,237.6,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,Yes,Yes,Yes,No,No
15,67.98,1019.7,One year,Electronic check,Fiber optic,Yes,No,No,No,No,Female,0,Yes,No,Yes,No,No,No
58,78.08,4528.64,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,Yes,No
69,47.17,3254.73,One year,Credit card,DSL,No,No,Yes,Yes,Yes,Female,0,Yes,No,Yes,Yes,No,No
2,59.83,119.66,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,No,Female,0,No,Yes,Yes,No,No,Yes
19,29.17,554.23,Month-to-month,Electronic check,DSL,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,No,No,Yes
58,53.64,3111.12,Two year,Bank transfer,DSL,No,No,Yes,No,Yes,Male,0,Yes,Yes,Yes,No,Yes,No
35,72.25,2528.75,One year,Mailed check,DSL,Yes,Yes,No,No,No,Male,0,No,No,Yes,No,Yes,Yes
18,93.23,1678.14,Month-to-month,Bank transfer,DSL,Yes,No,No,No,No,Male,0,No,Yes,Yes,Yes,No,Yes
66,20.33,1341.78,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,No,Yes,Male,0,No,Yes,Yes,No,Yes,No
18,66.73,1201.14,Two year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,No,Yes,No
19,49.7,944.3,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,Yes,No,Male,0,No,No,Yes,Yes,Yes,No
70,105.28,7369.6,One year,Credit card,DSL,Yes,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,Yes,No,No
51,91.56,4669.56,One year,Credit card,DSL,Yes,No,No,Yes,Yes,Female,1,No,Yes,Yes,No,No,No
32,78.91,2525.12,Month-to-month,Mailed check,DSL,No,No,Yes,Yes,No,Male,0,No,No,Yes,Yes,No,No
39,47.73,1861.47,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,No,No,No
38,111.03,4219.14,One year,Bank transfer,Fiber optic,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,Yes,No,Yes
0,24.51,0.0,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,No,No,No
10,30.95,309.5,Month-to-month,Credit card,DSL,Yes,No,No,Yes,Yes,Female,0,No,No,Yes,Yes,No,Yes
56,59.16,3312.96,Two year,Bank transfer,Fiber optic,No,Yes,No,Yes,Yes,Male,1,No,No,Yes,No,Yes,No
49,32.44,1589.56,Month-to-month,Credit card,Fiber optic,No,No,Yes,Yes,No,Female,0,Yes,No,Yes,No,No,No
22,115.64,2544.08,One year,Mailed check,Fiber optic,Yes,No,Yes,No,No,Male,0,No,Yes,Yes,Yes,No,No
30,99.8,2994.0,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,No,Male,0,Yes,Yes,No,No phone service,No,Yes
